region,cases
R1,10
R1,2
R1,2
R1,5
R1,3
R1,4
R1,3
R1,3
R1,4
R1,0
R1,2
R1,6
R1,4
R1,8
R1,7
R1,4
R2,1
R2,1
R2,2
R2,1
R2,3
R2,9
R2,2
R2,2
R2,4
R2,5
R2,4
R2,2
R2,2
R2,0
R2,0
R2,2
